Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_SN_level2	Polydendrocyte_Tnr_Bmp4.5_1	15002	0.0019252	0.005554	0.0049844	0.34966	1	1
DropViz_SN_level2	Oligodendrocyte_Tfr_Ndrg2.10_3	15002	0.0020423	0.005359	0.006176	0.37044	1	1
DropViz_SN_level2	Oligodendrocyte_Tfr_Il33.10_4	15002	0.0013354	0.0034872	0.0064545	0.41805	1	1
DropViz_SN_level2	Astrocyte_Gja1_Igfbp2.7_3	15002	-0.00037315	-0.0011151	0.0030554	0.5486	1	1
DropViz_SN_level2	Microglia_C1qb_Tmem119.9_2	15002	-0.00052476	-0.0016198	0.0027826	0.57479	1	1
DropViz_SN_level2	Macrophage_C1qb_Mrc1.9_1	15002	-0.00079322	-0.0022837	0.0039735	0.57911	1	1
DropViz_SN_level2	Neuron_Th_Cadm2.4_6	15002	-0.0011691	-0.0035707	0.0032093	0.64218	1	1
DropViz_SN_level2	Ependyma_Ccdc153.8_1	15002	-0.0016928	-0.0052569	0.002991	0.71429	1	1
DropViz_SN_level2	Polydendrocyte_Tnr_Cspg5-Dad1.6_2	15002	-0.0041711	-0.012165	0.0050357	0.79625	1	1
DropViz_SN_level2	Polydendrocyte_Tnr_Tmem2.5_2	15002	-0.0048608	-0.01366	0.0050928	0.83006	1	1
DropViz_SN_level2	Oligodendrocyte_Tnr_Rps24.11_1	15002	-0.0050353	-0.012897	0.0050471	0.84077	1	1
DropViz_SN_level2	Astrocyte_Gja1_Myoc.7_1	15002	-0.0052253	-0.014477	0.0048489	0.85939	1	1
DropViz_SN_level2	Polydendrocyte_Tnr_Opalin.5_3	15002	-0.00624	-0.017345	0.0049733	0.89519	1	1
DropViz_SN_level2	Astrocyte_Gja1_Cst3.7_2	15002	-0.0078113	-0.02024	0.0061334	0.89858	1	1
DropViz_SN_level2	Polydendrocyte_Tnr_Cspg5.6_1	15002	-0.0058733	-0.018315	0.0034501	0.95564	1	1
