Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Microglia	16825	-0.016317	-0.020079	0.0077773	0.98204	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Vascular	16825	-0.020242	-0.026698	0.0078	0.99527	1	1
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Fibroblast	16825	-0.032725	-0.043488	0.0079188	0.99998	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Upper_layer_intratelencephalic	16844	0.026129	0.050828	0.01195	0.014392	0.28784	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Amygdala_excitatory	16844	0.013889	0.034837	0.007247	0.02766	0.5532	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Miscellaneous	16844	0.022718	0.04034	0.013685	0.048464	0.96928	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Deep_layer_intratelencephalic	16844	0.019017	0.040703	0.011735	0.052563	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Hippocampal_dentate_gyrus	16844	0.018099	0.025226	0.011286	0.054404	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16844	0.016931	0.028625	0.01214	0.081562	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16844	0.011258	0.024597	0.010786	0.14832	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	MGE_interneuron	16844	0.012753	0.021602	0.013697	0.17592	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	CGE_interneuron	16844	0.013016	0.019591	0.014011	0.17646	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Hippocampal_CA1_3	16844	0.010673	0.019119	0.012092	0.18872	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Splatter	16844	0.0048763	0.008718	0.012446	0.34761	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Committed_oligodendrocyte_precursor	16844	0.002772	0.004173	0.0088888	0.37758	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Oligodendrocyte	16844	0.00094611	0.0013219	0.0075381	0.45006	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Oligodendrocyte_precursor	16844	-0.00090578	-0.0015369	0.0085307	0.54228	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Ependymal	16844	-0.0037936	-0.0068053	0.0056331	0.74966	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Deep_layer_near_projecting	16844	-0.0063723	-0.012831	0.009357	0.75206	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Astrocyte	16844	-0.005148	-0.0084355	0.0071853	0.76314	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Microglia	16844	-0.016619	-0.021094	0.0074085	0.98755	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Vascular	16844	-0.018605	-0.023584	0.0079576	0.9903	1	1
60_Siletti_Hippocampus.HiH.HiT.Sub_Human_2022_level2	Fibroblast	16844	-0.037887	-0.042802	0.0089741	0.99999	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	16867	0.024008	0.057102	0.00987	0.0075054	0.150108	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Amygdala_excitatory	16867	0.026084	0.061924	0.011552	0.011983	0.23966	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Eccentric_medium_spiny_neuron	16867	0.022839	0.051829	0.010261	0.013019	0.26038	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Miscellaneous	16867	0.014856	0.03091	0.013309	0.13217	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16867	0.0093682	0.021858	0.0096698	0.16633	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Deep_layer_intratelencephalic	16867	0.00693	0.01713	0.0094137	0.23082	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Hippocampal_CA4	16867	0.0037171	0.010019	0.0055747	0.25246	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	CGE_interneuron	16867	0.0055785	0.012417	0.011454	0.31312	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Hippocampal_CA1_3	16867	0.0042122	0.010366	0.0097714	0.33321	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	MGE_interneuron	16867	0.0044526	0.010394	0.010586	0.33701	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Committed_oligodendrocyte_precursor	16867	0.0016626	0.0026803	0.0084355	0.42188	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Oligodendrocyte	16867	0.00059529	0.00095206	0.0065993	0.46406	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Oligodendrocyte_precursor	16867	0.00020077	0.00035154	0.0078742	0.48983	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16867	-0.0017288	-0.0040637	0.010287	0.56673	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Astrocyte	16867	-0.001625	-0.0026575	0.0071105	0.59038	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Ependymal	16867	-0.0023211	-0.0037717	0.0062121	0.64566	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Splatter	16867	-0.007269	-0.01588	0.011711	0.7326	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Microglia	16867	-0.015596	-0.020915	0.0071402	0.98552	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Vascular	16867	-0.019269	-0.025124	0.0078074	0.9932	1	1
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Fibroblast	16867	-0.032968	-0.042804	0.0080665	0.99998	1	1
