Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
336_Seeker2023_WhiteMatter_Human_2023_CSC_Young_level2	glutamatergic_neuron	16	15678	0.011964	0.011307	0.013904	0.19476	0.018308	0.017302	0.013724	0.091105	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00042378	0.682872714909152	0.308479429446504
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	17	15325	0.02207	0.047785	0.0081886	0.0035215	0.023543	0.050973	0.0080932	0.0018162	334_Seeker2023_WhiteMatter_Human_2023_CB_Young_level2	0.00037273	0.895081651399175	0.799402616661879
334_Seeker2023_WhiteMatter_Human_2023_CB_Young_level2	glutamatergic_neuron	17	15325	0.016962	0.014861	0.014361	0.11879	0.022855	0.020024	0.014196	0.053717	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	0.00018676	0.728583887388658	0.340569837987248
59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	Eccentric_medium_spiny_neuron	18	15119	0.022698	0.049284	0.0082259	0.0028993	0.025846	0.056119	0.0080375	0.0006521	332_Seeker2023_WhiteMatter_Human_2023_BA4_Young_level2	0.00037273	0.796596715414537	0.929149084017727
332_Seeker2023_WhiteMatter_Human_2023_BA4_Young_level2	glutamatergic_neuron	18	15119	0.017888	0.024119	0.0099622	0.03629	0.023747	0.032018	0.0097356	0.0073665	59_Siletti_Hippocampus.HiT.CA4-DGC_Human_2022_level2	6.2304e-05	0.675288050838152	0.507132775022387
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003336	NA	NA
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00012434	NA	NA
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	20	16891	0.020736	0.049375	0.011057	0.030377	0.032762	0.078009	0.0095944	0.00032008	48_Siletti_CerebralNuclei.CMN_Human_2022_level2	0.0003336	0.434210981119676	1.00516786647957
48_Siletti_CerebralNuclei.CMN_Human_2022_level2	Eccentric_medium_spiny_neuron	20	16891	0.032417	0.064518	0.014821	0.014369	0.046238	0.092025	0.01286	0.00016236	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00015981	0.486228596161596	0.998189047967353
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	21	16837	0.022333	0.053197	0.010934	0.020555	0.032762	0.078038	0.0096133	0.00032806	50_Siletti_CerebralNuclei.BLN.BL_Human_2022_level2	0.0003336	0.484230739349631	1.00209181312752
50_Siletti_CerebralNuclei.BLN.BL_Human_2022_level2	Eccentric_medium_spiny_neuron	21	16837	0.025817	0.053106	0.0129	0.022687	0.038375	0.078936	0.011342	0.00035885	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00038421	0.477266003837198	1.00868286045293
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	22	16777	0.020268	0.048297	0.010766	0.029894	0.031857	0.075913	0.0095923	0.00044935	57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	0.0003336	0.45540091508089	0.962793467270994
57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	Eccentric_medium_spiny_neuron	22	16777	0.030933	0.06364	0.013058	0.0089242	0.042102	0.086618	0.011633	0.00014818	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00013582	0.535209739377157	0.990218383889682
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	23	16854	0.018628	0.044366	0.011028	0.045608	0.033077	0.07878	0.009631	0.00029763	44_Siletti_CerebralNuclei.GP.Gpe_Human_2022_level2	0.0003336	0.38027113783335	1.01425152690705
44_Siletti_CerebralNuclei.GP.Gpe_Human_2022_level2	Eccentric_medium_spiny_neuron	23	16854	0.027719	0.063581	0.010313	0.0036	0.036211	0.083059	0.0090052	2.9095e-05	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	3.1981e-05	0.538712444516802	1.00913741743659
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	24	16873	0.021681	0.051631	0.01046	0.019109	0.032527	0.077459	0.009599	0.00035216	46_Siletti_CerebralNuclei.SEP_Human_2022_level2	0.0003336	0.497721588330841	0.993236838653478
46_Siletti_CerebralNuclei.SEP_Human_2022_level2	Eccentric_medium_spiny_neuron	24	16873	0.026561	0.054339	0.010191	0.0045802	0.034963	0.071529	0.0093508	9.2681e-05	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00010877	0.579992603536595	1.01753969410745
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	25	16788	0.021903	0.05219	0.010762	0.020922	0.033591	0.080039	0.009632	0.00024452	52_Siletti_CerebralNuclei.Pu_Human_2022_level2	0.0003336	0.464989753330207	1.03880368884385
52_Siletti_CerebralNuclei.Pu_Human_2022_level2	Eccentric_medium_spiny_neuron	25	16788	0.024601	0.055533	0.010111	0.0074916	0.033786	0.076267	0.0090489	9.4667e-05	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.000128	0.528213302648671	1.03365487326462
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	26	16770	0.023501	0.056003	0.010699	0.014037	0.034107	0.081279	0.0096672	0.00020986	54_Siletti_CerebralNuclei.CaB_Human_2022_level2	0.0003336	0.503722205699621	1.05789745777807
54_Siletti_CerebralNuclei.CaB_Human_2022_level2	Eccentric_medium_spiny_neuron	26	16770	0.020629	0.047648	0.0089233	0.010399	0.029034	0.067059	0.0080623	0.0001589	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00014695	0.521998709127695	0.991141192494774
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	27	16895	0.018581	0.044242	0.011105	0.047152	0.034487	0.082114	0.0096964	0.00018835	47_Siletti_CerebralNuclei.Cla_Human_2022_level2	0.0003336	0.356104064497415	1.07140539489279
47_Siletti_CerebralNuclei.Cla_Human_2022_level2	Eccentric_medium_spiny_neuron	27	16895	0.035456	0.074506	0.012076	0.0016643	0.045313	0.095219	0.010542	8.6603e-06	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	7.9263e-06	0.548896091968345	0.992459721142724
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	28	16828	0.020404	0.048605	0.011058	0.032509	0.032613	0.077687	0.009592	0.00033776	49_Siletti_CerebralNuclei.SI_Human_2022_level2	0.0003336	0.428645477686727	0.998451963209905
49_Siletti_CerebralNuclei.SI_Human_2022_level2	Eccentric_medium_spiny_neuron	28	16828	0.02696	0.057828	0.012153	0.013274	0.038121	0.08177	0.010542	0.00014995	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00011335	0.49083993516714	0.969199713961726
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	29	16846	0.028587	0.068089	0.0097673	0.0017149	0.033477	0.079736	0.0096099	0.00024805	15_Siletti_CerebralCortex.Ig_Human_2022_level2	0.0003336	0.767103395970539	1.03701328074439
15_Siletti_CerebralCortex.Ig_Human_2022_level2	Eccentric_medium_spiny_neuron	29	16846	0.011485	0.02989	0.0041291	0.0027093	0.01366	0.035552	0.0040627	0.00038735	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00034499	0.75240938533013	0.985472489115846
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	30	16709	0.027487	0.06553	0.010216	0.0035688	0.034687	0.082695	0.0097211	0.00018026	100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	0.0003336	0.653689104405609	1.07688928830633
100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	Eccentric_medium_spiny_neuron	30	16709	0.020285	0.035489	0.0088576	0.011014	0.027619	0.048322	0.0084294	0.00052654	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00043816	0.597228592197447	0.976238858137007
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	31	16234	0.027307	0.06529	0.010382	0.0042707	0.03132	0.074886	0.010153	0.0010206	106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	0.0003336	0.792172021675771	0.860321801793213
106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	Thalamic_excitatory	31	16234	0.01452	0.035345	0.0078479	0.032156	0.018833	0.045845	0.0076761	0.0070801	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00021923	0.694309455848252	0.587565411922778
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	32	16459	0.019588	0.04677	0.011191	0.040034	0.033288	0.079482	0.0096245	0.00027216	110_Siletti_Thalamus.LNC.VA_Human_2022_level2	0.0003336	0.392006209876187	1.02542637133281
