Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	969	15085	0.0302	0.083096	0.0093931	0.00065337	0.0004522	0.952213922964441
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	969	15085	0.019181	0.053495	0.00783	0.0071541	0.0048746	0.92793614825579
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	970	15085	0.029946	0.082398	0.0093946	0.00071888	0.0004522	0.93980695350277
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	970	15085	0.021476	0.058621	0.0077677	0.0028517	0.0017772	0.925328058033479
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	971	15085	0.029662	0.081617	0.0094035	0.00080584	0.0004522	0.9249796527623
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	971	15085	0.020063	0.055179	0.0079473	0.005799	0.0031923	0.896129734789065
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	972	15085	0.034361	0.094876	0.011396	0.0012867	0.00013839	0.749054452456482
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	972	15085	0.0062583	0.017863	0.0063189	0.16099	0.011866	0.411903665642918
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	973	15085	0.017881	0.049931	0.0093528	0.027958	0.0073841	0.72875738998679
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	973	15085	0.010232	0.029205	0.0060877	0.04641	0.011866	0.692419088877024
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	974	15085	0.020201	0.056635	0.0091277	0.01345	0.0034503	0.760019872065587
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	974	15085	0.009983	0.028493	0.0060608	0.049776	0.011866	0.67662821078532
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	975	15085	0.021269	0.058876	0.010774	0.024191	0.0052267	0.708373087369687
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	975	15085	0.0096471	0.027535	0.0061568	0.058581	0.011866	0.639895102416802
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	976	15085	0.017478	0.048428	0.0091869	0.028567	0.006735	0.711038403231749
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	976	15085	0.0099389	0.028368	0.0061323	0.052546	0.011866	0.664414615325295
