# MEAN_SAMPLE_SIZE = 45380
# TOTAL_GENES = 18665
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
APPEL_IMATINIB_RESPONSE                  SET      32     -0.49113    -0.020319      0.15343      0.99931 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49     0.013414   0.00068642      0.11952      0.45532 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38    0.0060413   0.00027232      0.13671      0.48238 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      44    -0.070563   -0.0034221      0.12702      0.71073 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40      0.24942     0.011534       0.1303     0.027806 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     -0.14275   -0.0075963      0.12434      0.87453 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     148     -0.15138    -0.013427     0.071136      0.98333 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45     -0.27186    -0.013333      0.12979      0.98189 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9     0.004605    0.0001011      0.25623      0.49283 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48      0.12751     0.006458      0.12229      0.14855 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18      -0.2447   -0.0075955      0.20104      0.88822 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     115     -0.19934    -0.015599     0.086391      0.98948 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23      -0.2416   -0.0084758       0.2094      0.87569 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46      0.22341     0.011078      0.13492     0.048888 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      0.12182    0.0042739      0.17503      0.24322 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     409    -0.046821   -0.0068547      0.04553       0.8481 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      82    -0.057215    -0.003784      0.10131      0.71388 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.09616    0.0037875      0.17991      0.29651 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64     0.040503    0.0023677      0.10995       0.3563 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.46033    0.0058358      0.54278       0.1982 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.23259   -0.0053822      0.30611      0.77631 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.32999    0.0063894      0.38329      0.19464 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      0.12256    0.0033554      0.23754      0.30295 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     162    -0.045293   -0.0042014      0.06574      0.75457 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      50    -0.054075   -0.0027951      0.11321      0.68355 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      37    -0.012148  -0.00054034      0.15834      0.53058 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13    -0.013736   -0.0003624      0.23291      0.52351 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32     -0.04973   -0.0020574      0.14983      0.63002 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.11582    0.0023974      0.28049      0.33983 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     151     0.023318    0.0020888     0.069029      0.36776 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18      0.19859    0.0061644      0.19292      0.15166 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9     -0.36524   -0.0080184       0.3378      0.86019 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12     0.028894   0.00073242       0.2126      0.44595 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30      0.16347    0.0065484       0.1644      0.16004 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18      0.11487    0.0035657      0.20495      0.28758 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14    -0.064925   -0.0017775      0.22491      0.61358 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     -0.48314    -0.014997      0.20545      0.99065 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      53     -0.03521   -0.0018736      0.11823      0.61707 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23     -0.15747   -0.0055246      0.16918      0.82402 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      28      0.18301     0.007083      0.15307      0.11594 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31      0.22072    0.0089881      0.16936     0.096249 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10    -0.035714  -0.00082645      0.24979      0.55684 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
